timestamp,status,confidence,bbox_x,bbox_y,bbox_w,bbox_h,ejected,track_id,frame_idx,prev_hash,row_hash
2026-05-20T14:13:18.797,INTAKT,0.8700,-106,390,160,80,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0c4a4bff8019a755745f8cb2ba9b2a47a82271c34bde3aa90573a4f83a7839b6
2026-05-20T14:13:18.798,BESCHÄDIGT,0.9100,324,390,160,80,0,1,1,0c4a4bff8019a755745f8cb2ba9b2a47a82271c34bde3aa90573a4f83a7839b6,c7cc1aebc52153efd2bb9c6cee2586b3f75cff23344a014ddaa27867011ae3be
2026-05-20T14:13:18.798,INTAKT,0.8700,754,390,160,80,0,2,1,c7cc1aebc52153efd2bb9c6cee2586b3f75cff23344a014ddaa27867011ae3be,1ec2baa9ced18baf68f7781e892a9904da0a52f02651f48994ba232dd9f6a589
2026-05-20T14:13:18.898,INTAKT,0.8700,-102,390,160,80,0,3,2,1ec2baa9ced18baf68f7781e892a9904da0a52f02651f48994ba232dd9f6a589,b64cd90d58d83bde68cd35431727032ee906ee2085777df0d2dc8061f84129e6
2026-05-20T14:13:18.899,BESCHÄDIGT,0.9100,328,390,160,80,0,4,2,b64cd90d58d83bde68cd35431727032ee906ee2085777df0d2dc8061f84129e6,266947980f141b2a543f29db518961e3efba2d1fe180c4b0749d1fcbf442e394
2026-05-20T14:13:18.899,INTAKT,0.8700,758,390,160,80,0,5,2,266947980f141b2a543f29db518961e3efba2d1fe180c4b0749d1fcbf442e394,d18b4b83cdb94134ef74b27257fa715a60f7ebecd0f27b4ffeb54f3f6ecfe660
2026-05-20T14:13:18.977,INTAKT,0.8700,-94,390,160,80,0,6,4,d18b4b83cdb94134ef74b27257fa715a60f7ebecd0f27b4ffeb54f3f6ecfe660,bf373fc58c647c7223b504766c75546440a0c4de0aa4a9cab4eec0658f658195
2026-05-20T14:13:18.977,BESCHÄDIGT,0.9100,336,390,160,80,0,7,4,bf373fc58c647c7223b504766c75546440a0c4de0aa4a9cab4eec0658f658195,7997f3b1a21936f102772c87b39521ac76d5de2cd4a6bf9872c23b0d9419d22a
2026-05-20T14:13:18.977,INTAKT,0.8700,766,390,160,80,0,8,4,7997f3b1a21936f102772c87b39521ac76d5de2cd4a6bf9872c23b0d9419d22a,5b4a24793ddf81709ab30a526283eee2cf59c6c2bb1d37afcc6b1479a6d0109d
2026-05-20T14:13:19.036,INTAKT,0.8700,-86,390,160,80,0,9,6,5b4a24793ddf81709ab30a526283eee2cf59c6c2bb1d37afcc6b1479a6d0109d,68231f1a532b37e328276fb2da2660853d25f188090068caaa18144d025a482a
2026-05-20T14:13:19.037,BESCHÄDIGT,0.9100,344,390,160,80,0,10,6,68231f1a532b37e328276fb2da2660853d25f188090068caaa18144d025a482a,c154f839ac6f9d1951c9983ef69f2872b481bcff73ca8c2d5f4b771ca89eb523
2026-05-20T14:13:19.037,INTAKT,0.8700,774,390,160,80,0,11,6,c154f839ac6f9d1951c9983ef69f2872b481bcff73ca8c2d5f4b771ca89eb523,2f7094f9e09ef4b82825d605e437584252a70661203c5f27a3c187bb8e3480d6
2026-05-20T14:13:19.090,INTAKT,0.8700,-78,390,160,80,0,12,8,2f7094f9e09ef4b82825d605e437584252a70661203c5f27a3c187bb8e3480d6,ea1a6a94e86947f9d51293987000bc22279f8aab34fdec812ce6f2062e0bad18
2026-05-20T14:13:19.090,BESCHÄDIGT,0.9100,352,390,160,80,0,13,8,ea1a6a94e86947f9d51293987000bc22279f8aab34fdec812ce6f2062e0bad18,c0300e2789041d0da7abb634ebd87dcdc8b0ef1e089b9206e7f1783cea592107
2026-05-20T14:13:19.090,INTAKT,0.8700,782,390,160,80,0,14,8,c0300e2789041d0da7abb634ebd87dcdc8b0ef1e089b9206e7f1783cea592107,0765fd2d24ab935b9c7a545990fa42cbf63e0ec36f4f44b1dc1c00df3287f84e
2026-05-20T14:13:19.141,INTAKT,0.8700,-74,390,160,80,0,15,9,0765fd2d24ab935b9c7a545990fa42cbf63e0ec36f4f44b1dc1c00df3287f84e,45204ff6d889b15bad9b6fa4e83a5b8719f9d7d52594627a728318f947175c8d
2026-05-20T14:13:19.141,BESCHÄDIGT,0.9100,356,390,160,80,0,16,9,45204ff6d889b15bad9b6fa4e83a5b8719f9d7d52594627a728318f947175c8d,d6846177dea9091883333b3864c54eb27e35ae6f318f4ea6859e011f1cbafde1
2026-05-20T14:13:19.141,INTAKT,0.8700,786,390,160,80,0,17,9,d6846177dea9091883333b3864c54eb27e35ae6f318f4ea6859e011f1cbafde1,64c844b1a6ee1fbc65db3900ad61bb5d6a5399f47fe6c1daf9c37f2c24fccf18
2026-05-20T14:13:19.196,INTAKT,0.8700,-70,390,160,80,0,18,10,64c844b1a6ee1fbc65db3900ad61bb5d6a5399f47fe6c1daf9c37f2c24fccf18,5c7ce66c26f63ffc941678c45dea23416f7115d1fc3fab8b8183562ab6f41b4a
2026-05-20T14:13:19.197,BESCHÄDIGT,0.9100,360,390,160,80,0,19,10,5c7ce66c26f63ffc941678c45dea23416f7115d1fc3fab8b8183562ab6f41b4a,f73ca6d5387191b9fc6199a31ed209ca3f64b12d757c605dc996fb26f3ee87db
2026-05-20T14:13:19.198,INTAKT,0.8700,790,390,160,80,0,20,10,f73ca6d5387191b9fc6199a31ed209ca3f64b12d757c605dc996fb26f3ee87db,58e5f8ef8d76f11f5f3f8c3b4ec2565772b5c43991f3937db936d7b23870f377
2026-05-20T14:13:19.267,INTAKT,0.8700,-62,390,160,80,0,21,12,58e5f8ef8d76f11f5f3f8c3b4ec2565772b5c43991f3937db936d7b23870f377,d89db2d2b0593cb22183b1a87008667b6d7d1704573453dda99270806e8edff7
2026-05-20T14:13:19.268,BESCHÄDIGT,0.9100,368,390,160,80,0,22,12,d89db2d2b0593cb22183b1a87008667b6d7d1704573453dda99270806e8edff7,e967ab670229b5b79280806a3a5f549e06352331a6d7d937bda8f954b232d892
2026-05-20T14:13:19.268,INTAKT,0.8700,798,390,160,80,0,23,12,e967ab670229b5b79280806a3a5f549e06352331a6d7d937bda8f954b232d892,8644ff60078a663f261383eb05c0b7e5cbf0cba21f669f1aa3251fa2e6987518
2026-05-20T14:13:19.323,INTAKT,0.8700,-54,390,160,80,0,24,14,8644ff60078a663f261383eb05c0b7e5cbf0cba21f669f1aa3251fa2e6987518,6ee9e4b597df088b5cecd135346a131ba8513a453234f36b38907841232f06c3
2026-05-20T14:13:19.324,BESCHÄDIGT,0.9100,376,390,160,80,0,25,14,6ee9e4b597df088b5cecd135346a131ba8513a453234f36b38907841232f06c3,d1ef43adf5316eaf9b5459008a9f6f3d8e1cff93cc600d31040c000b32b148ed
2026-05-20T14:13:19.324,INTAKT,0.8700,806,390,160,80,0,26,14,d1ef43adf5316eaf9b5459008a9f6f3d8e1cff93cc600d31040c000b32b148ed,956871f93ab84d6df8254058bb7f39584ecddfcaab36cb9d794bb384e362f18e
2026-05-20T14:13:19.380,INTAKT,0.8700,-46,390,160,80,0,27,16,956871f93ab84d6df8254058bb7f39584ecddfcaab36cb9d794bb384e362f18e,0f8de7442e7c23cc5000770944bcb081277a27cfa7140cf3f20422cc0fb5a7d8
2026-05-20T14:13:19.381,BESCHÄDIGT,0.9100,384,390,160,80,0,28,16,0f8de7442e7c23cc5000770944bcb081277a27cfa7140cf3f20422cc0fb5a7d8,a5449994319cc5467b1d81c344b354f7ffc062d7e96e3b1a1e797050d6142aae
2026-05-20T14:13:19.382,INTAKT,0.8700,814,390,160,80,0,29,16,a5449994319cc5467b1d81c344b354f7ffc062d7e96e3b1a1e797050d6142aae,c243d5a010f1483f767172f458409947628e2cc476423ec188bec3c40b823804
2026-05-20T14:13:19.450,INTAKT,0.8700,-38,390,160,80,0,30,18,c243d5a010f1483f767172f458409947628e2cc476423ec188bec3c40b823804,f7eac2a8ffdce7b74a28962c19eccb2b333dddad85d64d69b32ef2f2d8284a48
2026-05-20T14:13:19.450,BESCHÄDIGT,0.9100,392,390,160,80,0,31,18,f7eac2a8ffdce7b74a28962c19eccb2b333dddad85d64d69b32ef2f2d8284a48,2773a32a3d5ac33c626b4665267cf861ebd8a4f73974d0201f52e2738bc87681
2026-05-20T14:13:19.451,INTAKT,0.8700,822,390,160,80,0,32,18,2773a32a3d5ac33c626b4665267cf861ebd8a4f73974d0201f52e2738bc87681,3a9b7e48a0ceaa0af4424c32626e75d6ab2cd6048c5e203ebfea28a01f4ba126
2026-05-20T14:13:19.506,INTAKT,0.8700,-30,390,160,80,0,33,20,3a9b7e48a0ceaa0af4424c32626e75d6ab2cd6048c5e203ebfea28a01f4ba126,d3ad1707a0f4126f322dea91fec9e0c68f0d5e800224e84b1ad8f02b1eb69bbf
2026-05-20T14:13:19.506,BESCHÄDIGT,0.9100,400,390,160,80,0,34,20,d3ad1707a0f4126f322dea91fec9e0c68f0d5e800224e84b1ad8f02b1eb69bbf,9796e8f0c00e872d0110dbfb93c077eb3ca61d9cf6ff01245ea1b22cd7bf1ea8
2026-05-20T14:13:19.507,INTAKT,0.8700,830,390,160,80,0,35,20,9796e8f0c00e872d0110dbfb93c077eb3ca61d9cf6ff01245ea1b22cd7bf1ea8,32c09009c89ee30a8f1eefc58d3898d3ae17942a9e723df32de73148b4abcb45
2026-05-20T14:13:19.570,INTAKT,0.8700,-22,390,160,80,0,36,22,32c09009c89ee30a8f1eefc58d3898d3ae17942a9e723df32de73148b4abcb45,3da29db75e2e69ed90d5c722510219133cce9b48cb409992d973de7e6834bb83
2026-05-20T14:13:19.570,BESCHÄDIGT,0.9100,408,390,160,80,0,37,22,3da29db75e2e69ed90d5c722510219133cce9b48cb409992d973de7e6834bb83,91eb8dfaf4026e974d5038c2e322daa20c98ba7dfd1d347fe6815c9fa407333e
2026-05-20T14:13:19.571,INTAKT,0.8700,838,390,160,80,0,38,22,91eb8dfaf4026e974d5038c2e322daa20c98ba7dfd1d347fe6815c9fa407333e,288e5031c7ea1c218d2048b9795e78846d6915c3706c283bed0cb350e85dfb3b
2026-05-20T14:13:19.631,INTAKT,0.8700,-14,390,160,80,0,39,24,288e5031c7ea1c218d2048b9795e78846d6915c3706c283bed0cb350e85dfb3b,7c1ed11f955d0fc1d5c551461d1441b6b1abb4be6c1014c0a6dfec9b8adf7d99
2026-05-20T14:13:19.632,BESCHÄDIGT,0.9100,416,390,160,80,0,40,24,7c1ed11f955d0fc1d5c551461d1441b6b1abb4be6c1014c0a6dfec9b8adf7d99,2395571105a9c09467adcb4074d74dc2147fd3561d6edba18fae7408b20c7061
2026-05-20T14:13:19.632,INTAKT,0.8700,846,390,160,80,0,41,24,2395571105a9c09467adcb4074d74dc2147fd3561d6edba18fae7408b20c7061,c5824d5b4e30cef4a49d682fd68f586f08992e07fce20a5b2017fa7139164789
2026-05-20T14:13:19.694,INTAKT,0.8700,-6,390,160,80,0,42,26,c5824d5b4e30cef4a49d682fd68f586f08992e07fce20a5b2017fa7139164789,e653cbbc0dedb41a8a0b7f71fe841be354d9e7694e4a0c26cbe75ace26fd6602
2026-05-20T14:13:19.694,BESCHÄDIGT,0.9100,424,390,160,80,0,43,26,e653cbbc0dedb41a8a0b7f71fe841be354d9e7694e4a0c26cbe75ace26fd6602,8c53554dc2b71cc78734f3b7ced63dbbf4bd02ff294e8e832486e999af31cdb7
2026-05-20T14:13:19.694,INTAKT,0.8700,854,390,160,80,0,44,26,8c53554dc2b71cc78734f3b7ced63dbbf4bd02ff294e8e832486e999af31cdb7,8e948a7b092db732c68bfe3615699203e583c7cc2f554696f8582527e294ae5f
2026-05-20T14:13:19.751,INTAKT,0.8700,2,390,160,80,0,45,28,8e948a7b092db732c68bfe3615699203e583c7cc2f554696f8582527e294ae5f,1997ad2feb3216ca38c57881c38785d963df31f9648edc02ffaa6f010de8c0d2
2026-05-20T14:13:19.751,BESCHÄDIGT,0.9100,432,390,160,80,0,46,28,1997ad2feb3216ca38c57881c38785d963df31f9648edc02ffaa6f010de8c0d2,a2b8f74f5d6ad64e6c58dd72ea3e45509ecac0971239f345c39e9fee6823562e
2026-05-20T14:13:19.752,INTAKT,0.8700,862,390,160,80,0,47,28,a2b8f74f5d6ad64e6c58dd72ea3e45509ecac0971239f345c39e9fee6823562e,41fef53da6ff84b3771dff312d8790e243517c3c08127d6203e3aa8b9854f56e
2026-05-20T14:13:19.812,INTAKT,0.8700,10,390,160,80,0,48,30,41fef53da6ff84b3771dff312d8790e243517c3c08127d6203e3aa8b9854f56e,148c54872c7d7e48ec138cb3e64e8982ff2c8f56cb301ada00149b71fa8699e4
2026-05-20T14:13:19.813,BESCHÄDIGT,0.9100,440,390,160,80,0,49,30,148c54872c7d7e48ec138cb3e64e8982ff2c8f56cb301ada00149b71fa8699e4,0820f11ca7cc0f090ddabf45bcba060e8edb59d1f3b3eda7ac036973c6b9b4e6
